award_id_piid,contract_award_unique_key,recipient_name,description,total_obligation,first_action_date,psc_description,state,usaspending_url,sam_piid_url,sam_solicitation_url,doc_url,doc_local_path
140P1325P0012,CONT_AWD_140P1325P0012_1443_-NONE-_-NONE-,"SKINNERS DRILLING & WELL SERVICE, LLC",BIBE EMERGENCY REPLACEMENT PUMP & MOTOR AT WELL #1 RIO GRANDE VILLAGE,4732.79,2025-04-08,REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES,TX,https://www.usaspending.gov/award/CONT_AWD_140P1325P0012_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1325P0012&index=co,https://sam.gov/search/?keywords=ORAL&index=opp,,
140P1326P0006,CONT_AWD_140P1326P0006_1443_-NONE-_-NONE-,WATER RUNNER LLC,"BIBE EMERGENCY WATER HAUL, CHISOS BASIN 4000-GAL TRUCK W DRIVER 8000-GAL PER DAY UP TO 14-DAYS",87450.00,2026-01-26,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,TX,https://www.usaspending.gov/award/CONT_AWD_140P1326P0006_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1326P0006&index=co,,,
140P1424P0127,CONT_AWD_140P1424P0127_1443_-NONE-_-NONE-,BADGER DAYLIGHTING CORP,DINO GRD CULVERT CLEAN OUT.,-11.00,2026-05-08,MAINTENANCE OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),UT,https://www.usaspending.gov/award/CONT_AWD_140P1424P0127_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1424P0127&index=co,https://sam.gov/search/?keywords=140P1424Q0121&index=opp,,
140P1425P0015,CONT_AWD_140P1425P0015_1443_-NONE-_-NONE-,PARKLAND USA CORPORATION,GRTE DIESEL FUEL,26512.70,2025-03-12,FUEL OILS,WY,https://www.usaspending.gov/award/CONT_AWD_140P1425P0015_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1425P0015&index=co,,,
140P1425P0052,CONT_AWD_140P1425P0052_1443_-NONE-_-NONE-,"ENERGISYSTEMS, LLC",CRITICAL REPAIRS TO THE ONLY FUEL SYSTEM AT OK-A-BEH MARINA FOR BIGHORN CANYON NATIONAL RECREATION AREA,5089.47,2025-08-04,MAINT/REPAIR/REBUILD OF EQUIPMENT- VALVES,MT,https://www.usaspending.gov/award/CONT_AWD_140P1425P0052_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1425P0052&index=co,,,
140P1525P0121,CONT_AWD_140P1525P0121_1443_-NONE-_-NONE-,LORENZO ENTERPRISES CORP,EVERGLADES NATIONAL PARK - FIRE APPARATUS FORD F-550 SUPER DUTY REPAIRS,17412.70,2025-08-25,MOTOR VEHICLE MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,FL,https://www.usaspending.gov/award/CONT_AWD_140P1525P0121_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1525P0121&index=co,https://sam.gov/search/?keywords=140P1525Q0179&index=opp,,
140P1525P0126,CONT_AWD_140P1525P0126_1443_-NONE-_-NONE-,ADVANCED CHEMICAL TRANSPORT LLC,GRCA-BIO-WASTE AND HAZARDOUS MATERIAL CLEAN UP AND DISPOSAL AT THE NORTH RIM DUE TO DRAGON BRAVO WILDFIRE,85600.00,2025-08-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,AZ,https://www.usaspending.gov/award/CONT_AWD_140P1525P0126_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1525P0126&index=co,https://sam.gov/search/?keywords=140P1525Q0165&index=opp,,
140P1525P0127,CONT_AWD_140P1525P0127_1443_-NONE-_-NONE-,ADVANCED CHEMICAL TRANSPORT LLC,GRCA-PORTABLE TOILETS WITH OPTIONS,72040.00,2025-08-28,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,AZ,https://www.usaspending.gov/award/CONT_AWD_140P1525P0127_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1525P0127&index=co,https://sam.gov/search/?keywords=140P1525Q0178&index=opp,,
140P1525P0129,CONT_AWD_140P1525P0129_1443_-NONE-_-NONE-,ADVANCED CHEMICAL TRANSPORT LLC,GRCA-ROLL OFF DUMPSTER WITH OPTIONS,76533.00,2025-08-28,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,AZ,https://www.usaspending.gov/award/CONT_AWD_140P1525P0129_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1525P0129&index=co,https://sam.gov/search/?keywords=140P1525Q0182&index=opp,,
140P1526P0005,CONT_AWD_140P1526P0005_1443_-NONE-_-NONE-,"PRO-PIPE, INC.",MOCA EMERGENCY REPAIR TO THE SEWER LINE,80431.00,2026-01-29,"MODIFICATION OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",AZ,https://www.usaspending.gov/award/CONT_AWD_140P1526P0005_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1526P0005&index=co,https://sam.gov/search/?keywords=140P1526Q0012&index=opp,,
140P1526P0007,CONT_AWD_140P1526P0007_1443_-NONE-_-NONE-,"WESTERN DIVERSIFIED, LLC",CHIR MOLD ABATEMENT IN QUARTERS 11,13600.00,2026-02-05,EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,AZ,https://www.usaspending.gov/award/CONT_AWD_140P1526P0007_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P1526P0007&index=co,https://sam.gov/search/?keywords=140P1526Q0021&index=opp,,
140P2026C0028,CONT_AWD_140P2026C0028_1443_-NONE-_-NONE-,ATLANTIC INDUSTRIAL COATINGS LIMITED LIABILITY COMPANY,NAMA 291052 PAINT LINCOLN REFLECTING POOL,14652521.24,2026-04-03,REPAIR OR ALTERATION OF OTHER UTILITIES,DC,https://www.usaspending.gov/award/CONT_AWD_140P2026C0028_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P2026C0028&index=co,https://sam.gov/search/?keywords=140P2026R0050&index=opp,,
140P2026C0031,CONT_AWD_140P2026C0031_1443_-NONE-_-NONE-,"GREEN WATER SOLUTIONS, LLC",NAMA 291052 LINCOLN REFLECTING POOL NANO BUBBLE,1740255.50,2026-04-13,REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES,DC,https://www.usaspending.gov/award/CONT_AWD_140P2026C0031_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P2026C0031&index=co,https://sam.gov/search/?keywords=140P2026R0032&index=opp,,
140P3025P0008,CONT_AWD_140P3025P0008_1443_-NONE-_-NONE-,"DELAWARE ELEVATOR, INC.",NCR-NAMA: WAMO ELEVATOR REPAIR,12644.00,2025-03-24,MAINT/REPAIR/REBUILD OF EQUIPMENT- SERVICE AND TRADE EQUIPMENT,DC,https://www.usaspending.gov/award/CONT_AWD_140P3025P0008_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P3025P0008&index=co,,,
140P3025P0012,CONT_AWD_140P3025P0012_1443_-NONE-_-NONE-,"KAIVA SERVICES, LLC",EMERGENCY REPAIRS FOR GEORGE WASHINGTON MEMORIAL PARKWAY USPP D2 SPRINKLER REPAIR,96895.00,2025-03-25,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",VA,https://www.usaspending.gov/award/CONT_AWD_140P3025P0012_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P3025P0012&index=co,,,
140P3025P0014,CONT_AWD_140P3025P0014_1443_-NONE-_-NONE-,"QUALITY ELEVATOR CO., LLC",CONOPS NATIONAL - NATIONAL MALL AND MEMORIAL PARKS URGENT WING-A ELEVATOR RETROFIT KIT.,4605.00,2025-05-07,MAINT/REPAIR/REBUILD OF EQUIPMENT- SERVICE AND TRADE EQUIPMENT,DC,https://www.usaspending.gov/award/CONT_AWD_140P3025P0014_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P3025P0014&index=co,,,
140P3025P0017,CONT_AWD_140P3025P0017_1443_-NONE-_-NONE-,WENGER CORP,WOTR EMERGENCY LIGHT BRIDGE MOTOR REPLACEMENT,44594.46,2025-05-13,ELECTRICAL CONTROL EQUIPMENT,VA,https://www.usaspending.gov/award/CONT_AWD_140P3025P0017_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P3025P0017&index=co,,,
